user_id,movie_id,rating
303,11,5.0
316,11,5.0
11,4,2.0
46,10,5.0
317,7,5.0
118,1,5.0
24,8,4.5
46,12,5.0
117,13,5.0
119,4,5.0
9,6,4.5
124,18,5.0
50,17,5.0
304,2,5.0
101,1,1.0
318,16,5.0
123,2,5.0
109,3,1.5
312,4,5.0
104,9,5.0
304,15,5.0
4,9,2.0
314,13,5.0
312,16,5.0
104,16,5.0
108,6,2.0
103,10,5.0
25,15,2.0
119,8,5.0
304,8,5.0
304,14,5.0
317,11,5.0
111,14,5.0
116,17,5.0
311,13,5.0
302,4,5.0
317,18,5.0
103,14,5.0
102,15,1.5
113,4,1.5
34,20,5.0
105,19,1.0
311,19,5.0
124,9,5.0
306,16,5.0
114,16,5.0
302,13,5.0
48,4,4.0
120,18,2.0
10040,1,5.0
311,2,5.0
318,11,5.0
34,19,5.0
14,17,4.5
102,5,5.0
313,8,5.0
118,20,1.0
313,16,5.0
317,8,5.0
34,3,2.0
117,17,5.0
300,13,5.0
317,13,5.0
2,2,4.5
13,7,5.0
116,1,5.0
122,8,1.0
48,3,3.0
112,9,5.0
34,7,5.0
10184,1,5.0
316,6,5.0
320,9,5.0
113,19,1.0
27,19,5.0
36,1,3.0
316,17,5.0
307,8,5.0
10223,1,5.0
314,4,5.0
301,9,5.0
109,12,2.0
2,18,4.0
106,16,1.5
314,15,5.0
9,7,4.5
308,10,5.0
7,9,2.0
2,7,4.5
104,11,5.0
308,18,5.0
24,6,4.0
42,9,4.0
1,9,3.0
300,7,5.0
312,6,5.0
108,10,5.0
47,16,5.0
309,13,5.0
50,9,5.0
103,1,5.0
312,19,5.0
118,14,2.0
301,10,5.0
100,17,1.5
316,7,5.0
108,5,1.5
306,7,5.0
6,13,5.0
317,19,5.0
316,16,5.0
29,15,1.0
305,7,5.0
38,15,5.0
319,14,5.0
106,12,5.0
305,19,5.0
17,19,5.0
302,7,5.0
34,1,4.0
310,11,5.0
300,18,5.0
19,7,5.0
309,3,5.0
121,12,2.0
318,20,5.0
315,17,5.0
44,12,5.0
319,15,5.0
33,12,4.5
107,10,1.5
115,4,5.0
317,9,5.0
11,14,3.0
111,2,5.0
108,2,1.0
2,15,4.0
5,1,4.5
312,14,5.0
318,4,5.0
44,7,5.0
10056,1,5.0
46,6,4.0
320,13,5.0
309,18,5.0
123,14,5.0
50,16,4.0
35,19,3.0
308,20,5.0
110,6,5.0
117,16,1.0
20,20,1.0
124,11,1.0
315,19,5.0
113,18,5.0
23,7,3.0
7,15,3.0
319,13,5.0
317,1,5.0
320,15,5.0
304,5,5.0
48,10,4.5
115,12,5.0
302,16,5.0
44,14,4.0
123,11,5.0
122,17,1.5
43,1,3.0
303,15,5.0
302,8,5.0
13,17,4.5
313,12,5.0
40,7,4.5
304,9,5.0
300,19,5.0
312,8,5.0
43,6,4.0
312,2,5.0
18,19,5.0
121,20,5.0
305,5,5.0
12,3,4.0
305,14,5.0
6,6,5.0
10113,1,5.0
106,11,1.0
37,1,4.0
46,3,2.0
311,4,5.0
307,11,5.0
315,8,5.0
13,3,4.0
110,15,5.0
112,10,1.0
30,13,5.0
105,1,5.0
3,11,5.0
10137,1,5.0
303,12,5.0
42,13,3.0
120,13,5.0
306,20,5.0
46,7,5.0
10,5,5.0
15,9,2.0
308,19,5.0
302,10,5.0
313,18,5.0
10102,1,5.0
40,14,5.0
303,9,5.0
30,18,5.0
109,18,5.0
13,4,2.0
11,18,5.0
113,20,5.0
307,13,5.0
318,7,5.0
105,7,5.0
123,20,5.0
124,10,5.0
311,7,5.0
6,1,5.0
122,13,5.0
121,11,1.0
315,20,5.0
101,6,5.0
315,1,5.0
124,7,1.0
314,5,5.0
113,8,5.0
304,12,5.0
32,9,5.0
9,9,3.0
25,9,5.0
47,2,4.5
23,15,2.0
10071,1,5.0
308,3,5.0
121,19,5.0
26,16,3.0
25,20,1.0
312,5,5.0
304,19,5.0
42,11,3.0
301,16,5.0
305,6,5.0
315,4,5.0
113,15,5.0
301,7,5.0
106,9,5.0
318,5,5.0
1,20,3.0
18,7,5.0
107,14,1.0
32,19,5.0
308,12,5.0
31,15,5.0
17,2,3.0
320,19,5.0
115,6,5.0
29,6,3.0
112,11,1.0
115,13,5.0
305,17,5.0
18,12,3.0
11,11,5.0
36,3,3.0
114,1,5.0
10,1,5.0
115,19,5.0
39,11,4.0
315,15,5.0
122,6,1.5
46,11,5.0
106,6,1.5
35,16,4.0
14,10,5.0
303,6,5.0
46,4,5.0
111,18,1.5
17,18,5.0
45,17,4.5
2,13,3.0
109,1,5.0
41,8,2.0
105,8,5.0
307,19,5.0
123,8,5.0
35,12,5.0
315,10,5.0
34,10,4.5
10061,1,5.0
308,15,5.0
10,19,3.0
114,11,2.0
318,19,5.0
50,19,4.0
305,12,5.0
6,14,3.0
4,7,4.5
306,5,5.0
303,5,5.0
305,2,5.0
44,2,4.5
303,8,5.0
27,4,4.5
100,20,5.0
310,10,5.0
102,19,5.0
14,5,4.0
43,18,3.0
38,5,4.5
25,16,3.0
309,20,5.0
314,8,5.0
122,4,5.0
313,15,5.0
18,10,2.0
305,3,5.0
10,12,5.0
303,10,5.0
10143,1,5.0
39,17,4.5
35,13,3.0
5,7,4.5
10179,1,5.0
24,14,4.5
4,17,4.5
309,7,5.0
305,20,5.0
107,11,5.0
309,11,5.0
102,10,1.0
307,3,5.0
303,13,5.0
30,2,3.0
114,2,5.0
317,3,5.0
320,3,5.0
104,2,5.0
10155,1,5.0
111,11,5.0
10107,1,5.0
114,10,5.0
17,20,2.0
308,13,5.0
10031,8,4.0
319,1,5.0
17,3,5.0
314,18,5.0
301,11,5.0
1,14,2.0
310,7,5.0
12,1,4.5
21,17,3.0
14,7,4.5
117,11,5.0
12,15,5.0
320,2,5.0
17,13,4.5
314,17,5.0
303,20,5.0
36,16,5.0
50,3,2.0
102,7,5.0
106,18,2.0
302,17,5.0
314,7,5.0
316,2,5.0
33,19,3.0
102,20,5.0
309,4,5.0
12,14,2.0
44,10,4.5
316,9,5.0
123,17,5.0
15,12,5.0
123,16,5.0
114,18,2.0
28,5,1.0
107,6,1.5
116,13,5.0
313,6,5.0
317,4,5.0
46,5,4.5
317,5,5.0
20,15,1.0
10027,1,5.0
114,12,5.0
302,3,5.0
22,7,4.0
35,18,3.0
313,17,5.0
107,13,5.0
122,14,5.0
43,3,2.0
25,1,5.0
13,20,5.0
307,10,5.0
117,20,5.0
305,18,5.0
308,2,5.0
31,3,3.0
44,4,3.0
316,19,5.0
29,20,2.0
319,2,5.0
303,3,5.0
108,14,5.0
50,1,3.0
315,7,5.0
313,20,5.0
44,8,2.0
15,1,4.5
315,6,5.0
12,13,4.0
33,1,3.0
116,18,5.0
316,12,5.0
317,14,5.0
301,13,5.0
111,17,1.5
312,18,5.0
104,3,1.5
16,2,4.0
300,14,5.0
302,1,5.0
13,9,2.0
117,1,5.0
10014,1,5.0
302,2,5.0
107,17,5.0
315,3,5.0
20,7,4.0
320,12,5.0
42,2,5.0
300,20,5.0
306,9,5.0
28,20,1.0
106,14,5.0
105,18,5.0
118,5,5.0
10017,2,4.0
5,19,2.0
105,20,5.0
15,7,5.0
115,5,5.0
303,19,5.0
305,11,5.0
117,7,2.0
45,5,5.0
301,20,5.0
119,12,1.5
29,4,5.0
315,11,5.0
47,14,3.0
33,20,5.0
10125,1,5.0
302,18,5.0
112,17,5.0
320,14,5.0
316,13,5.0
45,6,3.0
11,20,3.0
320,4,5.0
10,17,5.0
302,9,5.0
28,14,5.0
318,17,5.0
120,1,5.0
40,3,2.0
21,19,5.0
26,18,4.5
10161,1,5.0
117,19,5.0
320,18,5.0
120,5,5.0
100,10,5.0
111,19,5.0
20,11,3.0
40,13,3.0
32,1,3.0
5,5,4.0
10079,9,4.0
308,11,5.0
303,4,5.0
33,16,4.0
20,16,4.0
3,10,4.0
48,2,4.5
35,3,2.0
317,2,5.0
10187,1,5.0
121,13,2.0
122,3,5.0
320,8,5.0
116,15,5.0
10030,8,4.0
47,11,4.0
43,8,2.0
304,11,5.0
116,2,5.0
122,7,5.0
117,10,5.0
310,8,5.0
310,4,5.0
5,9,2.0
12,20,4.0
302,15,5.0
104,6,5.0
48,14,4.0
46,9,3.0
39,9,4.0
3,18,4.0
311,16,5.0
10094,1,5.0
19,18,4.5
107,8,5.0
20,6,4.0
45,18,2.0
316,3,5.0
119,18,5.0
27,1,5.0
14,8,3.0
308,5,5.0
15,14,2.0
114,9,5.0
308,4,5.0
112,6,5.0
301,3,5.0
114,14,5.0
4,8,4.0
5,13,4.0
306,12,5.0
316,14,5.0
315,14,5.0
6,20,3.0
2,20,3.0
301,5,5.0
308,7,5.0
31,20,5.0
100,4,5.0
34,17,5.0
306,18,5.0
42,6,3.0
314,1,5.0
310,16,5.0
26,9,4.5
40,18,3.0
310,12,5.0
33,5,5.0
311,8,5.0
318,12,5.0
103,12,1.5
314,19,5.0
314,12,5.0
11,12,5.0
110,3,5.0
48,8,2.0
3,19,3.0
317,17,5.0
121,10,5.0
319,8,5.0
20,3,5.0
49,12,4.5
42,5,4.5
112,8,5.0
4,5,4.0
311,11,5.0
123,9,2.0
34,6,5.0
116,14,2.0
105,15,1.0
27,3,5.0
110,1,1.0
123,5,5.0
308,6,5.0
311,1,5.0
37,3,2.0
43,17,4.5
320,7,5.0
309,12,5.0
314,6,5.0
3,5,5.0
47,19,3.0
121,5,5.0
25,11,5.0
8,12,4.5
50,15,5.0
103,17,1.5
309,19,5.0
310,13,5.0
49,19,5.0
304,1,5.0
319,16,5.0
26,15,2.0
18,11,5.0
47,8,2.0
28,15,1.0
18,9,5.0
316,5,5.0
320,16,5.0
312,1,5.0
318,8,5.0
118,17,5.0
305,4,5.0
319,19,5.0
318,3,5.0
10,18,4.0
101,18,1.5
34,9,4.0
307,15,5.0
105,9,1.0
108,1,5.0
304,7,5.0
31,10,5.0
33,2,4.5
315,9,5.0
300,8,5.0
19,1,5.0
102,8,1.0
120,10,2.0
100,13,5.0
106,19,5.0
312,9,5.0
40,1,5.0
311,6,5.0
111,3,5.0
309,9,5.0
116,9,5.0
16,15,1.0
103,7,1.0
15,2,4.5
302,12,5.0
314,14,5.0
309,14,5.0
103,15,5.0
107,16,5.0
21,4,5.0
318,10,5.0
319,9,5.0
305,8,5.0
1,11,5.0
303,2,5.0
31,1,3.0
300,6,5.0
106,3,5.0
10022,1,5.0
24,5,2.0
112,12,2.0
319,10,5.0
50,10,4.5
10009,1,5.0
307,5,5.0
115,7,1.5
104,12,2.0
306,11,5.0
6,2,5.0
301,19,5.0
18,1,5.0
24,10,2.0
27,17,5.0
39,2,4.5
308,17,5.0
311,18,5.0
42,3,3.0
308,14,5.0
117,8,5.0
107,12,5.0
35,4,3.0
11,13,5.0
20,10,2.0
104,10,5.0
123,18,5.0
306,17,5.0
310,9,5.0
303,17,5.0
320,20,5.0
40,9,5.0
119,3,5.0
115,1,5.0
310,1,5.0
303,1,5.0
302,14,5.0
35,10,5.0
38,8,3.0
1,1,5.0
110,4,1.5
49,13,3.0
37,10,5.0
112,1,5.0
115,17,2.0
10207,1,5.0
120,17,5.0
311,3,5.0
122,10,5.0
100,2,5.0
313,2,5.0
310,17,5.0
305,15,5.0
36,18,3.0
313,9,5.0
320,5,5.0
49,20,5.0
302,11,5.0
39,1,4.0
107,3,2.0
307,9,5.0
15,11,5.0
311,20,5.0
304,20,5.0
315,16,5.0
316,1,5.0
119,20,5.0
301,17,5.0
100,19,5.0
44,17,4.5
